theta_mrad,x_mslt_cm,x_fslt_cm
-8.5969,nan,nan
12.4698,0.67176,1.82163
13.4763,nan,nan
-0.5149,-0.30336,-1.14173
13.5764,nan,nan
-11.2681,nan,nan
5.4254,0.44392,1.69990
-15.6328,nan,nan
3.3243,0.17122,1.13684
2.7175,0.09714,0.84503
-13.7619,nan,nan
-14.4788,nan,nan
-13.7911,nan,nan
-4.1641,-0.42635,-1.09877
5.3772,0.26440,1.15407
-9.2274,-0.73707,-1.87300
-9.2427,nan,nan
-5.3699,nan,nan
12.6080,nan,nan
14.0450,nan,nan
-11.6231,nan,nan
3.4488,-0.01338,-0.16642
-0.8553,-0.29751,-0.78983
-6.5546,-0.56438,-1.31621
6.3757,0.52099,1.75094
17.0034,nan,nan
-1.8532,-0.18590,0.15875
-11.8370,nan,nan
15.5046,nan,nan
4.3405,0.31158,1.57401
1.8557,0.23238,1.66774
9.0865,0.71008,2.19124
-2.7729,-0.63037,nan
-11.5993,nan,nan
3.5762,0.33158,1.64698
-7.5994,-0.65813,-2.02282
7.5206,0.13382,-0.25419
-12.1234,nan,nan
4.8442,0.00694,-0.28881
-7.4678,nan,nan
-14.5409,nan,nan
-1.8105,-0.22280,-0.14093
2.1668,-0.22912,-1.23947
9.9462,nan,nan
17.5017,nan,nan
-1.4841,-0.21217,-0.14280
13.9270,nan,nan
14.4170,nan,nan
11.7203,0.72296,1.87380
-2.5407,-0.24344,-0.01447
-6.2919,-0.55531,-1.16151
14.6976,nan,nan
-3.3260,-0.48372,-1.22430
11.5878,nan,nan
-7.9538,nan,nan
7.9264,0.72866,1.81616
-7.8497,nan,nan
-13.4655,nan,nan
-2.4343,-0.50550,-1.98594
3.5414,0.30842,1.77422
18.8821,nan,nan
12.0202,nan,nan
-9.3626,nan,nan
-1.8339,-0.23188,-0.01803
-7.3567,-0.67484,-1.86437
5.8378,0.08117,-0.25732
-6.3153,-0.60613,-1.63011
13.0920,nan,nan
